Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,2025-04-26 05:30:00,2025-05-28 04:25:00,22h 55m,2 stops,No info,15129
Multiple carriers,2019-05-24,Delhi,Cochin,DEL → BOM → COK,2025-04-26 13:00:00,2025-04-26 21:00:00,8h,1 stop,No info,14067
IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2025-04-26 07:30:00,2025-04-26 13:20:00,5h 50m,1 stop,No info,8227
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,2025-04-26 14:05:00,2025-04-26 23:35:00,9h 30m,1 stop,In-flight meal not included,10844
Jet Airways,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,2025-04-26 11:40:00,2025-04-26 19:00:00,7h 20m,2 stops,In-flight meal not included,19644
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,2025-04-26 21:10:00,2025-05-22 00:05:00,2h 55m,non-stop,No check-in baggage included,3573
Air India,2019-09-05,Kolkata,Banglore,CCU → IXR → DEL → BLR,2025-04-26 05:50:00,2025-04-26 20:25:00,14h 35m,2 stops,No info,10991
GoAir,2019-05-24,Banglore,Delhi,BLR → DEL,2025-04-26 11:40:00,2025-04-26 14:30:00,2h 50m,non-stop,No info,3398
SpiceJet,2019-05-18,Chennai,Kolkata,MAA → CCU,2025-04-26 09:45:00,2025-04-26 12:00:00,2h 15m,non-stop,No check-in baggage included,3543
Air Asia,2019-03-04,Kolkata,Banglore,CCU → BLR,2025-04-26 10:20:00,2025-04-26 12:55:00,2h 35m,non-stop,No info,4107
Jet Airways,2019-06-04,Delhi,Cochin,DEL → BOM → COK,2025-04-26 08:00:00,2025-04-26 19:00:00,11h,1 stop,In-flight meal not included,5406
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,2025-04-26 13:00:00,2025-05-19 01:30:00,12h 30m,1 stop,No info,9385
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2025-04-26 09:00:00,2025-04-26 18:50:00,9h 50m,1 stop,No info,12032
Air India,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,2025-04-26 09:25:00,2025-04-26 18:30:00,9h 5m,1 stop,No info,8891
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2025-04-26 08:00:00,2025-04-26 21:00:00,13h,1 stop,No info,15078
Jet Airways,2019-06-15,Delhi,Cochin,DEL → ATQ → BOM → COK,2025-04-26 18:20:00,2025-06-16 12:35:00,18h 15m,2 stops,No info,14300
